periodo,anio_0,trim_0,anio_1,trim_1,n_t0,pondera_t0,n_panel,pondera_panel,n_inc_total,n_inc_sexo,n_inc_edad,pondera_inc_total,pondera_inc_sexo,pondera_inc_edad,pct_encontrado_n,pct_encontrado_pondera,pct_inc_total,pct_inc_sexo,pct_inc_edad
2003_t3,2003,3,2004,3,38199,19148907,15619,7609947,725,173,793,377153,93870,412500,40.89,39.74,4.64,1.11,5.08
2003_t4,2003,4,2004,4,38683,19248318,15748,7341734,738,159,814,345623,84968,383898,40.71,38.14,4.69,1.01,5.17
2004_t1,2004,1,2005,1,45256,23220439,18434,9146364,887,226,940,440544,107474,472535,40.73,39.39,4.81,1.23,5.1
2004_t2,2004,2,2005,2,47819,23270192,19144,8953955,983,221,1060,449511,97887,479857,40.03,38.48,5.13,1.15,5.54
2004_t3,2004,3,2005,3,47864,23326822,19320,9246481,1014,233,1079,497340,124984,508032,40.36,39.64,5.25,1.21,5.58
2004_t4,2004,4,2005,4,46799,23397265,18984,9364343,888,215,989,445090,119810,474334,40.56,40.02,4.68,1.13,5.21
2005_t1,2005,1,2006,1,46963,23213095,18770,9215586,965,225,1039,512863,120226,530095,39.97,39.7,5.14,1.2,5.54
2005_t2,2005,2,2006,2,46887,23303140,19191,9721058,946,238,1007,495865,131812,545540,40.93,41.72,4.93,1.24,5.25
2005_t3,2005,3,2006,3,47624,23366316,19414,9531756,910,215,1005,470825,112637,509944,40.77,40.79,4.69,1.11,5.18
2005_t4,2005,4,2006,4,47116,23397302,18945,9375554,987,231,1036,497735,120200,509360,40.21,40.07,5.21,1.22,5.47
2006_t1,2006,1,2007,1,45841,23480915,18035,9070953,890,210,943,474074,118491,483527,39.34,38.63,4.93,1.16,5.23
2006_t2,2006,2,2007,2,47638,23524277,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2006_t4,2006,4,2007,4,64315,23998188,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2007_t1,2007,1,2008,1,63380,24065970,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2007_t2,2007,2,2008,2,63169,24130256,24650,8998766,1482,305,1586,531510,117551,558352,39.02,37.29,6.01,1.24,6.43
2007_t4,2007,4,2008,4,61706,24236753,24929,9478823,1476,320,1557,582320,120436,604814,40.4,39.11,5.92,1.28,6.25
2008_t1,2008,1,2009,1,62009,24290622,24168,9256279,1343,291,1464,539158,125138,567273,38.97,38.11,5.56,1.2,6.06
2008_t2,2008,2,2009,2,61489,24372163,24223,9577078,1440,323,1532,520685,126879,550979,39.39,39.3,5.94,1.33,6.32
2008_t3,2008,3,2009,3,62057,24430104,24711,9593504,1454,313,1577,588983,124547,609757,39.82,39.27,5.88,1.27,6.38
2008_t4,2008,4,2009,4,62036,24453525,24517,9397014,1377,333,1457,520886,129575,552267,39.52,38.43,5.62,1.36,5.94
2009_t1,2009,1,2010,1,60209,24544533,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2009_t2,2009,2,2010,2,60003,24597281,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2009_t3,2009,3,2010,3,60751,24654683,24467,9687285,1443,336,1529,539251,117886,597612,40.27,39.29,5.9,1.37,6.25
2009_t4,2009,4,2010,4,59767,24720232,23910,9678346,1383,311,1465,542806,111154,556026,40.01,39.15,5.78,1.3,6.13
2010_t1,2010,1,2011,1,58670,24779141,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2010_t2,2010,2,2011,2,59446,24837566,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2010_t3,2010,3,2011,3,59865,24887349,23866,9791971,1430,330,1507,600625,146159,616523,39.87,39.35,5.99,1.38,6.31
2010_t4,2010,4,2011,4,58846,24958579,23216,9774722,1456,360,1504,638729,171791,630575,39.45,39.16,6.27,1.55,6.48
2011_t1,2011,1,2012,1,57720,25007126,22857,9815937,1356,304,1478,593242,144796,623742,39.6,39.25,5.93,1.33,6.47
2011_t2,2011,2,2012,2,58670,25053285,23823,9831505,1486,335,1583,607351,155717,620674,40.61,39.24,6.24,1.41,6.64
2011_t3,2011,3,2012,3,57883,25098830,23273,9712669,1502,345,1580,591474,129847,634118,40.21,38.7,6.45,1.48,6.79
2011_t4,2011,4,2012,4,57110,25184563,22686,9484074,1395,338,1441,592735,155738,575569,39.72,37.66,6.15,1.49,6.35
2012_t1,2012,1,2013,1,55762,25221861,22257,9491133,1434,321,1472,601806,138212,609412,39.91,37.63,6.44,1.44,6.61
2012_t2,2012,2,2013,2,56858,25286723,22612,9765723,1389,321,1500,608479,160009,642393,39.77,38.62,6.14,1.42,6.63
2012_t3,2012,3,2013,3,56216,25345539,21961,9463033,1359,320,1437,600298,158430,619739,39.07,37.34,6.19,1.46,6.54
2012_t4,2012,4,2013,4,54533,25404842,21372,9503499,1507,377,1543,603050,153642,619949,39.19,37.41,7.05,1.76,7.22
2013_t1,2013,1,2014,1,54688,25463996,10913,4824471,701,192,756,307895,74431,331806,19.96,18.95,6.42,1.76,6.93
2013_t2,2013,2,2014,2,55341,25499494,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2013_t3,2013,3,2014,3,55826,25574509,11962,5714248,807,202,877,398662,90975,430020,21.43,22.34,6.75,1.69,7.33
2013_t4,2013,4,2014,4,56137,26007963,23915,10254490,1748,420,1825,701642,188760,729154,42.6,39.43,7.31,1.76,7.63
2014_t1,2014,1,2015,1,57518,26271968,23703,10261436,1647,369,1778,685394,179499,728220,41.21,39.06,6.95,1.56,7.5
2014_t2,2014,2,2015,2,61039,26551842,24671,10184756,1814,419,1904,757576,191753,759582,40.42,38.36,7.35,1.7,7.72
2015_t2,2015,2,2016,2,59965,26813674,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2016_t2,2016,2,2017,2,59762,27163435,24127,10430947,1833,405,1931,759434,167866,796540,40.37,38.4,7.6,1.68,8
2016_t3,2016,3,2017,3,59497,27230464,24009,10489597,1914,468,1918,866411,240104,817093,40.35,38.52,7.97,1.95,7.99
2016_t4,2016,4,2017,4,58082,27298920,22904,10400180,1826,482,1787,861235,254522,800366,39.43,38.1,7.97,2.1,7.8
2017_t1,2017,1,2018,1,58620,27376096,23306,10688914,1885,508,1866,862019,261685,817167,39.76,39.04,8.09,2.18,8.01
2017_t2,2017,2,2018,2,59681,27430011,23624,10468128,1788,432,1917,813786,222263,845555,39.58,38.16,7.57,1.83,8.11
2017_t3,2017,3,2018,3,58663,27521376,22831,10346189,1688,408,1799,752197,211974,793967,38.92,37.59,7.39,1.79,7.88
2017_t4,2017,4,2018,4,58137,27593080,22847,10437812,1666,380,1716,761042,206264,735358,39.3,37.83,7.29,1.66,7.51
2018_t1,2018,1,2019,1,57880,27655118,22613,10311325,1643,408,1680,743291,204749,723033,39.07,37.29,7.27,1.8,7.43
2018_t2,2018,2,2019,2,57762,27697888,22825,10591652,1747,416,1777,753728,209188,739697,39.52,38.24,7.65,1.82,7.79
2018_t3,2018,3,2019,3,56819,27801365,22131,10567000,1582,392,1655,711839,196598,739027,38.95,38.01,7.15,1.77,7.48
2018_t4,2018,4,2019,4,57333,27873014,22580,10849049,1656,436,1682,788967,268174,759589,39.38,38.92,7.33,1.93,7.45
2019_t1,2019,1,2020,1,59258,28204452,20668,9514140,1495,384,1518,725370,193102,725179,34.88,33.73,7.23,1.86,7.34
2019_t2,2019,2,2020,2,59191,28270305,17489,7759858,1317,303,1353,551970,131937,562450,29.55,27.45,7.53,1.73,7.74
2019_t3,2019,3,2020,3,57157,27927122,18388,7726230,1454,332,1493,519594,137430,514533,32.17,27.67,7.91,1.81,8.12
2019_t4,2019,4,2020,4,58477,28422735,19284,7867598,1516,346,1530,527709,145026,502887,32.98,27.68,7.86,1.79,7.93
2020_t1,2020,1,2021,1,51546,28441503,18860,8365394,1307,330,1334,510116,136436,520922,36.59,29.41,6.93,1.75,7.07
2020_t2,2020,2,2021,2,37067,28547464,13036,6608798,975,214,1038,493718,126663,469435,35.17,23.15,7.48,1.64,7.96
2020_t3,2020,3,2021,3,41636,28448224,15246,7623863,1130,293,1154,603302,146129,592336,36.62,26.8,7.41,1.92,7.57
2020_t4,2020,4,2021,4,43714,28699789,16376,7488066,1245,341,1235,585166,182209,568053,37.46,26.09,7.6,2.08,7.54
2021_t1,2021,1,2022,1,46619,28704988,17103,8569766,1234,354,1258,581241,179308,589152,36.69,29.85,7.22,2.07,7.36
2021_t2,2021,2,2022,2,46996,28733245,17681,9582868,1279,334,1318,667342,214739,638470,37.62,33.35,7.23,1.89,7.45
