periodo,anio_0,trim_0,anio_1,trim_1,n_t0,pondera_t0,n_panel,pondera_panel,n_inc_total,n_inc_sexo,n_inc_edad,pondera_inc_total,pondera_inc_sexo,pondera_inc_edad,pct_encontrado_n,pct_encontrado_pondera,pct_inc_total,pct_inc_sexo,pct_inc_edad
2003_t3-t4,2003,3,2003,4,38199,19148907,16987,8001565,715,180,1401,382309,101829,676365,44.47,41.79,4.21,1.06,8.25
2003_t4-t1,2003,4,2004,1,38683,19248318,16644,7620981,725,221,1395,345317,114015,657959,43.03,39.59,4.36,1.33,8.38
2004_t1-t2,2004,1,2004,2,45256,23220439,20255,10132103,813,272,1791,439859,146522,930815,44.76,43.63,4.01,1.34,8.84
2004_t2-t3,2004,2,2004,3,47819,23270192,21616,10220366,873,276,1891,461205,150896,936739,45.2,43.92,4.04,1.28,8.75
2004_t3-t4,2004,3,2004,4,47864,23326822,21269,9789015,793,234,1750,394646,123462,867684,44.44,41.96,3.73,1.1,8.23
2004_t4-t1,2004,4,2005,1,46799,23397265,20798,10307679,845,242,1807,472988,136010,949899,44.44,44.06,4.06,1.16,8.69
2005_t1-t2,2005,1,2005,2,46963,23213095,20825,10017488,862,239,1821,428568,115618,911891,44.34,43.15,4.14,1.15,8.74
2005_t2-t3,2005,2,2005,3,46887,23303140,21163,10274409,848,235,1972,437272,124551,1007229,45.14,44.09,4.01,1.11,9.32
2005_t3-t4,2005,3,2005,4,47624,23366316,21519,10355868,867,257,1788,416643,116244,911993,45.19,44.32,4.03,1.19,8.31
2005_t4-t1,2005,4,2006,1,47116,23397302,20557,10115184,817,258,1731,437491,142425,872948,43.63,43.23,3.97,1.26,8.42
2006_t1-t2,2006,1,2006,2,45841,23480915,20824,10578743,793,250,1681,420736,137106,908388,45.43,45.05,3.81,1.2,8.07
2006_t2-t3,2006,2,2006,3,47638,23524277,21496,10465633,878,239,1919,464403,130176,1006022,45.12,44.49,4.08,1.11,8.93
2006_t3-t4,2006,3,2006,4,64974,23956152,29060,10427831,1198,352,2407,468936,127981,891551,44.73,43.53,4.12,1.21,8.28
2006_t4-t1,2006,4,2007,1,64315,23998188,28108,10290499,1177,331,2509,451203,135359,916250,43.7,42.88,4.19,1.18,8.93
2007_t1-t2,2007,1,2007,2,63380,24065970,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2007_t4-t1,2007,4,2008,1,61706,24236753,26825,10254988,1216,311,2567,519054,134124,1067167,43.47,42.31,4.53,1.16,9.57
2008_t1-t2,2008,1,2008,2,62009,24290622,27383,10420040,1290,373,2698,509120,154635,1022040,44.16,42.9,4.71,1.36,9.85
2008_t2-t3,2008,2,2008,3,61489,24372163,27188,10541594,1255,336,2725,484604,140526,1051744,44.22,43.25,4.62,1.24,10.02
2008_t3-t4,2008,3,2008,4,62057,24430104,27998,10593167,1364,372,2754,544691,129149,1050119,45.12,43.36,4.87,1.33,9.84
2008_t4-t1,2008,4,2009,1,62036,24453525,26847,10484141,1229,348,2615,485806,133868,1017925,43.28,42.87,4.58,1.3,9.74
2009_t1-t2,2009,1,2009,2,60209,24544533,26369,10421509,1222,362,2614,486867,141320,1027963,43.8,42.46,4.63,1.37,9.91
2009_t2-t3,2009,2,2009,3,60003,24597281,26482,10544623,1278,355,2792,519019,140487,1103067,44.13,42.87,4.83,1.34,10.54
2009_t3-t4,2009,3,2009,4,60751,24654683,27203,10548052,1301,384,2595,502575,147902,1001593,44.78,42.78,4.78,1.41,9.54
2009_t4-t1,2009,4,2010,1,59767,24720232,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2010_t1-t2,2010,1,2010,2,58670,24779141,26027,10766161,1232,316,2653,547829,129081,1185356,44.36,43.45,4.73,1.21,10.19
2010_t2-t3,2010,2,2010,3,59446,24837566,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2010_t3-t4,2010,3,2010,4,59865,24887349,26627,10711377,1328,350,2549,515288,139336,1020834,44.48,43.04,4.99,1.31,9.57
2010_t4-t1,2010,4,2011,1,58846,24958579,25546,10408999,1204,338,2345,571521,142578,1074078,43.41,41.71,4.71,1.32,9.18
