from,to,weight,id,periodo_base,categoria,periodo
Patron_t0,Cuenta_propia_t1,28.3,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2003_t3
Patron_t0,Patron_t1,57.8,Patron_t0 - Patron_t1,t_anterior,Patron,2003_t3
Patron_t0,Asalariado_t1,9.3,Patron_t0 - Asalariado_t1,t_anterior,Patron,2003_t3
Patron_t0,TFSR_t1,4.7,Patron_t0 - TFSR_t1,t_anterior,Patron,2003_t3
Cuenta_propia_t0,Cuenta_propia_t1,63.3,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2003_t3
Cuenta_propia_t0,Asalariado_t1,29.4,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2003_t3
Cuenta_propia_t0,TFSR_t1,1.5,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2003_t3
Cuenta_propia_t0,Patron_t1,5.8,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2003_t3
Asalariado_t0,Asalariado_t1,91.2,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2003_t3
Asalariado_t0,Cuenta_propia_t1,7.9,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2003_t3
Asalariado_t0,Patron_t1,0.7,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2003_t3
Asalariado_t0,TFSR_t1,0.3,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2003_t3
Patron_t0,Patron_t1,53.7,Patron_t0 - Patron_t1,t_anterior,Patron,2003_t4
Patron_t0,Cuenta_propia_t1,29.9,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2003_t4
Patron_t0,Asalariado_t1,13,Patron_t0 - Asalariado_t1,t_anterior,Patron,2003_t4
Patron_t0,TFSR_t1,3.4,Patron_t0 - TFSR_t1,t_anterior,Patron,2003_t4
Cuenta_propia_t0,Cuenta_propia_t1,66.4,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2003_t4
Cuenta_propia_t0,Asalariado_t1,26.3,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2003_t4
Cuenta_propia_t0,Patron_t1,5.8,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2003_t4
Cuenta_propia_t0,TFSR_t1,1.6,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2003_t4
Asalariado_t0,Asalariado_t1,91.4,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2003_t4
Asalariado_t0,Cuenta_propia_t1,7.4,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2003_t4
Asalariado_t0,Patron_t1,0.9,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2003_t4
Asalariado_t0,TFSR_t1,0.3,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2003_t4
Patron_t0,Patron_t1,58.1,Patron_t0 - Patron_t1,t_anterior,Patron,2004_t1
Patron_t0,Cuenta_propia_t1,29,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2004_t1
Patron_t0,Asalariado_t1,12.2,Patron_t0 - Asalariado_t1,t_anterior,Patron,2004_t1
Patron_t0,TFSR_t1,0.7,Patron_t0 - TFSR_t1,t_anterior,Patron,2004_t1
