from,to,weight,id,periodo_base,categoria,periodo
Patron_t0,Cuenta_propia_t1,24.5,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2003_t3-t4
Patron_t0,Patron_t1,60.2,Patron_t0 - Patron_t1,t_anterior,Patron,2003_t3-t4
Patron_t0,Asalariado_t1,14.3,Patron_t0 - Asalariado_t1,t_anterior,Patron,2003_t3-t4
Patron_t0,TFSR_t1,1,Patron_t0 - TFSR_t1,t_anterior,Patron,2003_t3-t4
Cuenta_propia_t0,Cuenta_propia_t1,71.2,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2003_t3-t4
Cuenta_propia_t0,Asalariado_t1,22.1,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2003_t3-t4
Cuenta_propia_t0,Patron_t1,5.3,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2003_t3-t4
Cuenta_propia_t0,TFSR_t1,1.4,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2003_t3-t4
Asalariado_t0,Asalariado_t1,93.7,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2003_t3-t4
Asalariado_t0,TFSR_t1,0.3,Asalariado_t0 - TFSR_t1,t_anterior,Asalariado,2003_t3-t4
Asalariado_t0,Cuenta_propia_t1,5.2,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2003_t3-t4
Asalariado_t0,Patron_t1,0.7,Asalariado_t0 - Patron_t1,t_anterior,Asalariado,2003_t3-t4
Patron_t0,Cuenta_propia_t1,35.2,Patron_t0 - Cuenta_propia_t1,t_anterior,Patron,2003_t4-t1
Patron_t0,Patron_t1,52.5,Patron_t0 - Patron_t1,t_anterior,Patron,2003_t4-t1
Patron_t0,Asalariado_t1,11.9,Patron_t0 - Asalariado_t1,t_anterior,Patron,2003_t4-t1
Patron_t0,TFSR_t1,0.4,Patron_t0 - TFSR_t1,t_anterior,Patron,2003_t4-t1
Cuenta_propia_t0,Asalariado_t1,23,Cuenta_propia_t0 - Asalariado_t1,t_anterior,Cuenta_propia,2003_t4-t1
Cuenta_propia_t0,Cuenta_propia_t1,69.9,Cuenta_propia_t0 - Cuenta_propia_t1,t_anterior,Cuenta_propia,2003_t4-t1
Cuenta_propia_t0,Patron_t1,5.5,Cuenta_propia_t0 - Patron_t1,t_anterior,Cuenta_propia,2003_t4-t1
Cuenta_propia_t0,TFSR_t1,1.6,Cuenta_propia_t0 - TFSR_t1,t_anterior,Cuenta_propia,2003_t4-t1
Asalariado_t0,Asalariado_t1,93.4,Asalariado_t0 - Asalariado_t1,t_anterior,Asalariado,2003_t4-t1
Asalariado_t0,Cuenta_propia_t1,5.7,Asalariado_t0 - Cuenta_propia_t1,t_anterior,Asalariado,2003_t4-t1
