from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Ocupado_t1,87.2,Ocupado_t0 - Ocupado_t1,t_anterior,Ocupado,2003_t3
Ocupado_t0,Inactivo_t1,8.3,Ocupado_t0 - Inactivo_t1,t_anterior,Ocupado,2003_t3
Ocupado_t0,Desocupado_t1,4.5,Ocupado_t0 - Desocupado_t1,t_anterior,Ocupado,2003_t3
Ocupado_t0,Trab_familiar_t1,0,Ocupado_t0 - Trab_familiar_t1,t_anterior,Ocupado,2003_t3
Desocupado_t0,Ocupado_t1,47.3,Desocupado_t0 - Ocupado_t1,t_anterior,Desocupado,2003_t3
Desocupado_t0,Desocupado_t1,27.6,Desocupado_t0 - Desocupado_t1,t_anterior,Desocupado,2003_t3
Desocupado_t0,Inactivo_t1,25.1,Desocupado_t0 - Inactivo_t1,t_anterior,Desocupado,2003_t3
Inactivo_t0,Inactivo_t1,86,Inactivo_t0 - Inactivo_t1,t_anterior,Inactivo,2003_t3
Inactivo_t0,Ocupado_t1,9.1,Inactivo_t0 - Ocupado_t1,t_anterior,Inactivo,2003_t3
Inactivo_t0,Desocupado_t1,4.7,Inactivo_t0 - Desocupado_t1,t_anterior,Inactivo,2003_t3
Inactivo_t0,Trab_familiar_t1,0.1,Inactivo_t0 - Trab_familiar_t1,t_anterior,Inactivo,2003_t3
Ocupado_t0,Ocupado_t1,86.7,Ocupado_t0 - Ocupado_t1,t_anterior,Ocupado,2003_t4
Ocupado_t0,Inactivo_t1,8.5,Ocupado_t0 - Inactivo_t1,t_anterior,Ocupado,2003_t4
Ocupado_t0,Desocupado_t1,4.8,Ocupado_t0 - Desocupado_t1,t_anterior,Ocupado,2003_t4
Desocupado_t0,Inactivo_t1,26.3,Desocupado_t0 - Inactivo_t1,t_anterior,Desocupado,2003_t4
Desocupado_t0,Ocupado_t1,47.2,Desocupado_t0 - Ocupado_t1,t_anterior,Desocupado,2003_t4
Desocupado_t0,Desocupado_t1,26.5,Desocupado_t0 - Desocupado_t1,t_anterior,Desocupado,2003_t4
Inactivo_t0,Inactivo_t1,85.2,Inactivo_t0 - Inactivo_t1,t_anterior,Inactivo,2003_t4
Inactivo_t0,Ocupado_t1,10.2,Inactivo_t0 - Ocupado_t1,t_anterior,Inactivo,2003_t4
Inactivo_t0,Desocupado_t1,4.5,Inactivo_t0 - Desocupado_t1,t_anterior,Inactivo,2003_t4
Inactivo_t0,Trab_familiar_t1,0.1,Inactivo_t0 - Trab_familiar_t1,t_anterior,Inactivo,2003_t4
Ocupado_t0,Ocupado_t1,86.1,Ocupado_t0 - Ocupado_t1,t_anterior,Ocupado,2004_t1
Ocupado_t0,Inactivo_t1,9.1,Ocupado_t0 - Inactivo_t1,t_anterior,Ocupado,2004_t1
Ocupado_t0,Desocupado_t1,4.8,Ocupado_t0 - Desocupado_t1,t_anterior,Ocupado,2004_t1
Ocupado_t0,Trab_familiar_t1,0,Ocupado_t0 - Trab_familiar_t1,t_anterior,Ocupado,2004_t1
Desocupado_t0,Desocupado_t1,29,Desocupado_t0 - Desocupado_t1,t_anterior,Desocupado,2004_t1
Desocupado_t0,Inactivo_t1,28.6,Desocupado_t0 - Inactivo_t1,t_anterior,Desocupado,2004_t1
Desocupado_t0,Ocupado_t1,42.4,Desocupado_t0 - Ocupado_t1,t_anterior,Desocupado,2004_t1
