from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Inactivo_t1,30,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Desocupado_t1,33.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Ocupado_t1,36.3,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Trab_familiar_t1,0.3,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_t0,Desocupado_t1,31.6,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_t0,Inactivo_t1,29.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_t0,Ocupado_t1,38.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_t0,Ocupado_t1,41,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_t0,Inactivo_t1,31.6,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_t0,Desocupado_t1,27.4,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_t0,Ocupado_t1,39.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_t0,Inactivo_t1,31,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_t0,Desocupado_t1,29,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_t0,Ocupado_t1,40,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Inactivo_t1,33.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Desocupado_t1,26.1,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Trab_familiar_t1,0.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_t0,Desocupado_t1,34.7,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_t0,Ocupado_t1,36.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_t0,Inactivo_t1,29,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_t0,Inactivo_t1,30.7,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t2-t3
Desocupado_t0,Ocupado_t1,39.5,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t2-t3
Desocupado_t0,Desocupado_t1,29.8,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t2-t3
Desocupado_t0,Ocupado_t1,32.8,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t3-t4
Desocupado_t0,Desocupado_t1,40,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t3-t4
Desocupado_t0,Inactivo_t1,27.2,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t3-t4
Desocupado_t0,Ocupado_t1,40,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2019_t1-t2
Desocupado_t0,Desocupado_t1,37.9,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2019_t1-t2
Desocupado_t0,Inactivo_t1,22,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2019_t1-t2
Desocupado_t0,Trab_familiar_t1,0.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2019_t1-t2
Desocupado_t0,Ocupado_t1,39,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2019_t2-t3
Desocupado_t0,Inactivo_t1,24.3,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2019_t2-t3
Desocupado_t0,Desocupado_t1,36.7,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2019_t2-t3
Desocupado_t0,Inactivo_t1,28.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2019_t3-t4
Desocupado_t0,Ocupado_t1,36.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2019_t3-t4
Desocupado_t0,Desocupado_t1,34.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2019_t3-t4
Desocupado_t0,Desocupado_t1,30.5,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2020_t1-t2
Desocupado_t0,Inactivo_t1,52.7,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2020_t1-t2
Desocupado_t0,Ocupado_t1,16.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2020_t1-t2
Desocupado_t0,Trab_familiar_t1,0.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2020_t1-t2
Desocupado_t0,Inactivo_t1,25,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2020_t2-t3
Desocupado_t0,Ocupado_t1,42.5,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2020_t2-t3
Desocupado_t0,Desocupado_t1,32.5,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2020_t2-t3
Desocupado_t0,Ocupado_t1,34.3,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2020_t3-t4
Desocupado_t0,Desocupado_t1,46.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2020_t3-t4
Desocupado_t0,Inactivo_t1,19.4,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2020_t3-t4
Desocupado_t0,Inactivo_t1,30.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Desocupado_t1,36,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Ocupado_t1,33.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Trab_familiar_t1,0,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2021_t1-t2
Desocupado_t0,Inactivo_t1,25.5,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2021_t2-t3
Desocupado_t0,Ocupado_t1,43.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2021_t2-t3
Desocupado_t0,Desocupado_t1,30.9,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2021_t2-t3
Desocupado_t0,Ocupado_t1,33.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Inactivo_t1,31.1,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Desocupado_t1,33.9,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Trab_familiar_t1,1.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2021_t3-t4
Desocupado_t0,Desocupado_t1,31.8,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2022_t1-t2
Desocupado_t0,Inactivo_t1,24.4,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2022_t1-t2
Desocupado_t0,Ocupado_t1,43.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2022_t1-t2
Desocupado_t0,Ocupado_t1,37.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2022_t2-t3
Desocupado_t0,Desocupado_t1,28.1,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2022_t2-t3
Desocupado_t0,Inactivo_t1,34.7,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2022_t2-t3
Desocupado_t0,Inactivo_t1,28.6,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2022_t3-t4
Desocupado_t0,Ocupado_t1,44.4,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2022_t3-t4
Desocupado_t0,Desocupado_t1,27,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2022_t3-t4
