from,to,weight,id,periodo_base,categoria,periodo
Formal_t0,Formal_t1,92.7,Formal_t0 - Formal_t1,t_anterior,Formal,2023_t4-t1
Formal_t0,Informal_t1,7.3,Formal_t0 - Informal_t1,t_anterior,Formal,2023_t4-t1
Informal_t0,Formal_t1,16,Informal_t0 - Formal_t1,t_anterior,Informal,2023_t4-t1
Informal_t0,Informal_t1,84,Informal_t0 - Informal_t1,t_anterior,Informal,2023_t4-t1
Formal_t0,Formal_t1,92.8,Formal_t0 - Formal_t1,t_anterior,Formal,2024_t1-t2
Formal_t0,Informal_t1,7.2,Formal_t0 - Informal_t1,t_anterior,Formal,2024_t1-t2
Informal_t0,Formal_t1,16.2,Informal_t0 - Formal_t1,t_anterior,Informal,2024_t1-t2
Informal_t0,Informal_t1,83.8,Informal_t0 - Informal_t1,t_anterior,Informal,2024_t1-t2
Formal_t0,Formal_t1,92.5,Formal_t0 - Formal_t1,t_anterior,Formal,2024_t2-t3
Formal_t0,Informal_t1,7.5,Formal_t0 - Informal_t1,t_anterior,Formal,2024_t2-t3
Informal_t0,Informal_t1,86.9,Informal_t0 - Informal_t1,t_anterior,Informal,2024_t2-t3
Informal_t0,Formal_t1,13.1,Informal_t0 - Formal_t1,t_anterior,Informal,2024_t2-t3
Formal_t0,Formal_t1,94.4,Formal_t0 - Formal_t1,t_anterior,Formal,2024_t3-t4
Formal_t0,Informal_t1,5.6,Formal_t0 - Informal_t1,t_anterior,Formal,2024_t3-t4
Informal_t0,Informal_t1,81.2,Informal_t0 - Informal_t1,t_anterior,Informal,2024_t3-t4
Informal_t0,Formal_t1,18.8,Informal_t0 - Formal_t1,t_anterior,Informal,2024_t3-t4
Formal_t0,Formal_t1,93.1,Formal_t0 - Formal_t1,t_anterior,Formal,2024_t4-t1
Formal_t0,Informal_t1,6.9,Formal_t0 - Informal_t1,t_anterior,Formal,2024_t4-t1
Informal_t0,Informal_t1,80.4,Informal_t0 - Informal_t1,t_anterior,Informal,2024_t4-t1
Informal_t0,Formal_t1,19.6,Informal_t0 - Formal_t1,t_anterior,Informal,2024_t4-t1
Formal_t0,Formal_t1,92.7,Formal_t0 - Formal_t1,t_anterior,Formal,2025_t1-t2
Formal_t0,Informal_t1,7.3,Formal_t0 - Informal_t1,t_anterior,Formal,2025_t1-t2
Informal_t0,Informal_t1,82.7,Informal_t0 - Informal_t1,t_anterior,Informal,2025_t1-t2
Informal_t0,Formal_t1,17.3,Informal_t0 - Formal_t1,t_anterior,Informal,2025_t1-t2
Formal_t0,Formal_t1,94,Formal_t0 - Formal_t1,t_anterior,Formal,2025_t2-t3
Formal_t0,Informal_t1,6,Formal_t0 - Informal_t1,t_anterior,Formal,2025_t2-t3
Informal_t0,Informal_t1,83,Informal_t0 - Informal_t1,t_anterior,Informal,2025_t2-t3
Informal_t0,Formal_t1,17,Informal_t0 - Formal_t1,t_anterior,Informal,2025_t2-t3
Formal_t0,Formal_t1,92.3,Formal_t0 - Formal_t1,t_anterior,Formal,2025_t3-t4
Formal_t0,Informal_t1,7.7,Formal_t0 - Informal_t1,t_anterior,Formal,2025_t3-t4
Informal_t0,Informal_t1,84.6,Informal_t0 - Informal_t1,t_anterior,Informal,2025_t3-t4
Informal_t0,Formal_t1,15.4,Informal_t0 - Formal_t1,t_anterior,Informal,2025_t3-t4
