from,to,weight,id,periodo_base,categoria,periodo
Formal_t0,Formal_t1,94.5,Formal_t0 - Formal_t1,t_anterior,Formal,2003_t3
Formal_t0,Informal_t1,5.5,Formal_t0 - Informal_t1,t_anterior,Formal,2003_t3
Informal_t0,Informal_t1,83.2,Informal_t0 - Informal_t1,t_anterior,Informal,2003_t3
Informal_t0,Formal_t1,16.8,Informal_t0 - Formal_t1,t_anterior,Informal,2003_t3
Formal_t0,Formal_t1,94.3,Formal_t0 - Formal_t1,t_anterior,Formal,2003_t4
Formal_t0,Informal_t1,5.7,Formal_t0 - Informal_t1,t_anterior,Formal,2003_t4
Informal_t0,Informal_t1,84.8,Informal_t0 - Informal_t1,t_anterior,Informal,2003_t4
Informal_t0,Formal_t1,15.2,Informal_t0 - Formal_t1,t_anterior,Informal,2003_t4
Formal_t0,Formal_t1,94.1,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t1
Formal_t0,Informal_t1,5.9,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t1
Informal_t0,Informal_t1,84.6,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t1
Informal_t0,Formal_t1,15.4,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t1
Formal_t0,Formal_t1,94.5,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t2
Formal_t0,Informal_t1,5.5,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t2
Informal_t0,Informal_t1,82.7,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t2
Informal_t0,Formal_t1,17.3,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t2
Formal_t0,Formal_t1,94.5,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t3
Formal_t0,Informal_t1,5.5,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t3
Informal_t0,Informal_t1,83.3,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t3
Informal_t0,Formal_t1,16.7,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t3
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t4
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t4
Informal_t0,Informal_t1,82.9,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t4
Informal_t0,Formal_t1,17.1,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t4
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t1
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t1
Informal_t0,Informal_t1,81,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t1
Informal_t0,Formal_t1,19,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t1
Formal_t0,Formal_t1,94.4,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t2
Formal_t0,Informal_t1,5.6,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t2
Informal_t0,Informal_t1,80.8,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t2
Informal_t0,Formal_t1,19.2,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t2
Formal_t0,Formal_t1,95.5,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t3
Formal_t0,Informal_t1,4.5,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t3
Informal_t0,Informal_t1,82.3,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t3
Informal_t0,Formal_t1,17.7,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t3
Formal_t0,Formal_t1,92.7,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t4
Formal_t0,Informal_t1,7.3,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t4
Informal_t0,Informal_t1,78.6,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t4
Informal_t0,Formal_t1,21.4,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t4
Formal_t0,Formal_t1,94.1,Formal_t0 - Formal_t1,t_anterior,Formal,2006_t1
Formal_t0,Informal_t1,5.9,Formal_t0 - Informal_t1,t_anterior,Formal,2006_t1
Informal_t0,Informal_t1,78.9,Informal_t0 - Informal_t1,t_anterior,Informal,2006_t1
Informal_t0,Formal_t1,21.1,Informal_t0 - Formal_t1,t_anterior,Informal,2006_t1
Formal_t0,Formal_t1,94.3,Formal_t0 - Formal_t1,t_anterior,Formal,2007_t2
Formal_t0,Informal_t1,5.7,Formal_t0 - Informal_t1,t_anterior,Formal,2007_t2
Informal_t0,Formal_t1,26.4,Informal_t0 - Formal_t1,t_anterior,Informal,2007_t2
Informal_t0,Informal_t1,73.6,Informal_t0 - Informal_t1,t_anterior,Informal,2007_t2
Formal_t0,Formal_t1,93.5,Formal_t0 - Formal_t1,t_anterior,Formal,2007_t4
Formal_t0,Informal_t1,6.5,Formal_t0 - Informal_t1,t_anterior,Formal,2007_t4
Informal_t0,Formal_t1,24.6,Informal_t0 - Formal_t1,t_anterior,Informal,2007_t4
Informal_t0,Informal_t1,75.4,Informal_t0 - Informal_t1,t_anterior,Informal,2007_t4
Formal_t0,Formal_t1,93,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t1
Formal_t0,Informal_t1,7,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t1
Informal_t0,Informal_t1,77.1,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t1
Informal_t0,Formal_t1,22.9,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t1
Formal_t0,Formal_t1,93.8,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t2
Formal_t0,Informal_t1,6.2,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t2
Informal_t0,Formal_t1,23.4,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t2
Informal_t0,Informal_t1,76.6,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t2
Formal_t0,Formal_t1,93.4,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t3
Formal_t0,Informal_t1,6.6,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t3
Informal_t0,Informal_t1,78.2,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t3
Informal_t0,Formal_t1,21.8,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t3
Formal_t0,Formal_t1,94,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t4
Formal_t0,Informal_t1,6,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t4
Informal_t0,Informal_t1,81.1,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t4
Informal_t0,Formal_t1,18.9,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t4
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2009_t3
