from,to,weight,id,periodo_base,categoria,periodo
Formal_t0,Formal_t1,95.3,Formal_t0 - Formal_t1,t_anterior,Formal,2003_t3-t4
Formal_t0,Informal_t1,4.7,Formal_t0 - Informal_t1,t_anterior,Formal,2003_t3-t4
Informal_t0,Informal_t1,90.6,Informal_t0 - Informal_t1,t_anterior,Informal,2003_t3-t4
Informal_t0,Formal_t1,9.4,Informal_t0 - Formal_t1,t_anterior,Informal,2003_t3-t4
Formal_t0,Formal_t1,94.9,Formal_t0 - Formal_t1,t_anterior,Formal,2003_t4-t1
Formal_t0,Informal_t1,5.1,Formal_t0 - Informal_t1,t_anterior,Formal,2003_t4-t1
Informal_t0,Informal_t1,92.2,Informal_t0 - Informal_t1,t_anterior,Informal,2003_t4-t1
Informal_t0,Formal_t1,7.8,Informal_t0 - Formal_t1,t_anterior,Informal,2003_t4-t1
Formal_t0,Formal_t1,94.3,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t1-t2
Formal_t0,Informal_t1,5.7,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t1-t2
Informal_t0,Informal_t1,91.6,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t1-t2
Informal_t0,Formal_t1,8.4,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t1-t2
Formal_t0,Formal_t1,95.2,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t2-t3
Formal_t0,Informal_t1,4.8,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t2-t3
Informal_t0,Informal_t1,90.8,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t2-t3
Informal_t0,Formal_t1,9.2,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t2-t3
Formal_t0,Formal_t1,93.7,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t3-t4
Formal_t0,Informal_t1,6.3,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t3-t4
Informal_t0,Informal_t1,90.6,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t3-t4
Informal_t0,Formal_t1,9.4,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t3-t4
Formal_t0,Formal_t1,95.2,Formal_t0 - Formal_t1,t_anterior,Formal,2004_t4-t1
Formal_t0,Informal_t1,4.8,Formal_t0 - Informal_t1,t_anterior,Formal,2004_t4-t1
Informal_t0,Formal_t1,11.4,Informal_t0 - Formal_t1,t_anterior,Informal,2004_t4-t1
Informal_t0,Informal_t1,88.6,Informal_t0 - Informal_t1,t_anterior,Informal,2004_t4-t1
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t1-t2
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t1-t2
Informal_t0,Informal_t1,88.9,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t1-t2
Informal_t0,Formal_t1,11.1,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t1-t2
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t2-t3
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t2-t3
Informal_t0,Informal_t1,89.8,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t2-t3
Informal_t0,Formal_t1,10.2,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t2-t3
Formal_t0,Formal_t1,95.2,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t3-t4
Formal_t0,Informal_t1,4.8,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t3-t4
Informal_t0,Informal_t1,89.6,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t3-t4
Informal_t0,Formal_t1,10.4,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t3-t4
Formal_t0,Formal_t1,95.3,Formal_t0 - Formal_t1,t_anterior,Formal,2005_t4-t1
Formal_t0,Informal_t1,4.7,Formal_t0 - Informal_t1,t_anterior,Formal,2005_t4-t1
Informal_t0,Formal_t1,11.3,Informal_t0 - Formal_t1,t_anterior,Informal,2005_t4-t1
Informal_t0,Informal_t1,88.7,Informal_t0 - Informal_t1,t_anterior,Informal,2005_t4-t1
Formal_t0,Informal_t1,4.5,Formal_t0 - Informal_t1,t_anterior,Formal,2006_t1-t2
Formal_t0,Formal_t1,95.5,Formal_t0 - Formal_t1,t_anterior,Formal,2006_t1-t2
Informal_t0,Informal_t1,88.9,Informal_t0 - Informal_t1,t_anterior,Informal,2006_t1-t2
Informal_t0,Formal_t1,11.1,Informal_t0 - Formal_t1,t_anterior,Informal,2006_t1-t2
Formal_t0,Formal_t1,95.5,Formal_t0 - Formal_t1,t_anterior,Formal,2006_t2-t3
Formal_t0,Informal_t1,4.5,Formal_t0 - Informal_t1,t_anterior,Formal,2006_t2-t3
Informal_t0,Informal_t1,89.1,Informal_t0 - Informal_t1,t_anterior,Informal,2006_t2-t3
Informal_t0,Formal_t1,10.9,Informal_t0 - Formal_t1,t_anterior,Informal,2006_t2-t3
Formal_t0,Formal_t1,94.1,Formal_t0 - Formal_t1,t_anterior,Formal,2006_t3-t4
Formal_t0,Informal_t1,5.9,Formal_t0 - Informal_t1,t_anterior,Formal,2006_t3-t4
Informal_t0,Informal_t1,87.5,Informal_t0 - Informal_t1,t_anterior,Informal,2006_t3-t4
Informal_t0,Formal_t1,12.5,Informal_t0 - Formal_t1,t_anterior,Informal,2006_t3-t4
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2006_t4-t1
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2006_t4-t1
Informal_t0,Formal_t1,17.1,Informal_t0 - Formal_t1,t_anterior,Informal,2006_t4-t1
Informal_t0,Informal_t1,82.9,Informal_t0 - Informal_t1,t_anterior,Informal,2006_t4-t1
Formal_t0,Formal_t1,94.5,Formal_t0 - Formal_t1,t_anterior,Formal,2007_t4-t1
Formal_t0,Informal_t1,5.5,Formal_t0 - Informal_t1,t_anterior,Formal,2007_t4-t1
Informal_t0,Formal_t1,17.1,Informal_t0 - Formal_t1,t_anterior,Informal,2007_t4-t1
Informal_t0,Informal_t1,82.9,Informal_t0 - Informal_t1,t_anterior,Informal,2007_t4-t1
Formal_t0,Formal_t1,94.4,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t1-t2
Formal_t0,Informal_t1,5.6,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t1-t2
Informal_t0,Informal_t1,83.5,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t1-t2
Informal_t0,Formal_t1,16.5,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t1-t2
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t2-t3
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t2-t3
Informal_t0,Informal_t1,84.5,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t2-t3
Informal_t0,Formal_t1,15.5,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t2-t3
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t3-t4
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t3-t4
Informal_t0,Informal_t1,86.7,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t3-t4
Informal_t0,Formal_t1,13.3,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t3-t4
Formal_t0,Formal_t1,95.1,Formal_t0 - Formal_t1,t_anterior,Formal,2008_t4-t1
Formal_t0,Informal_t1,4.9,Formal_t0 - Informal_t1,t_anterior,Formal,2008_t4-t1
Informal_t0,Informal_t1,87.6,Informal_t0 - Informal_t1,t_anterior,Informal,2008_t4-t1
Informal_t0,Formal_t1,12.4,Informal_t0 - Formal_t1,t_anterior,Informal,2008_t4-t1
Formal_t0,Formal_t1,94.7,Formal_t0 - Formal_t1,t_anterior,Formal,2009_t1-t2
Formal_t0,Informal_t1,5.3,Formal_t0 - Informal_t1,t_anterior,Formal,2009_t1-t2
Informal_t0,Informal_t1,86.3,Informal_t0 - Informal_t1,t_anterior,Informal,2009_t1-t2
Informal_t0,Formal_t1,13.7,Informal_t0 - Formal_t1,t_anterior,Informal,2009_t1-t2
Formal_t0,Formal_t1,94.1,Formal_t0 - Formal_t1,t_anterior,Formal,2009_t2-t3
Formal_t0,Informal_t1,5.9,Formal_t0 - Informal_t1,t_anterior,Formal,2009_t2-t3
Informal_t0,Informal_t1,83.3,Informal_t0 - Informal_t1,t_anterior,Informal,2009_t2-t3
Informal_t0,Formal_t1,16.7,Informal_t0 - Formal_t1,t_anterior,Informal,2009_t2-t3
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2009_t3-t4
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2009_t3-t4
Informal_t0,Informal_t1,86.5,Informal_t0 - Informal_t1,t_anterior,Informal,2009_t3-t4
Informal_t0,Formal_t1,13.5,Informal_t0 - Formal_t1,t_anterior,Informal,2009_t3-t4
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2010_t1-t2
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2010_t1-t2
Informal_t0,Formal_t1,14.7,Informal_t0 - Formal_t1,t_anterior,Informal,2010_t1-t2
Informal_t0,Informal_t1,85.3,Informal_t0 - Informal_t1,t_anterior,Informal,2010_t1-t2
Formal_t0,Formal_t1,95.7,Formal_t0 - Formal_t1,t_anterior,Formal,2010_t3-t4
Formal_t0,Informal_t1,4.3,Formal_t0 - Informal_t1,t_anterior,Formal,2010_t3-t4
Informal_t0,Formal_t1,15.7,Informal_t0 - Formal_t1,t_anterior,Informal,2010_t3-t4
Informal_t0,Informal_t1,84.3,Informal_t0 - Informal_t1,t_anterior,Informal,2010_t3-t4
Formal_t0,Formal_t1,93.7,Formal_t0 - Formal_t1,t_anterior,Formal,2010_t4-t1
Formal_t0,Informal_t1,6.3,Formal_t0 - Informal_t1,t_anterior,Formal,2010_t4-t1
Informal_t0,Informal_t1,86,Informal_t0 - Informal_t1,t_anterior,Informal,2010_t4-t1
Informal_t0,Formal_t1,14,Informal_t0 - Formal_t1,t_anterior,Informal,2010_t4-t1
Formal_t0,Formal_t1,94.4,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t1-t2
Formal_t0,Informal_t1,5.6,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t1-t2
Informal_t0,Informal_t1,87,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t1-t2
Informal_t0,Formal_t1,13,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t1-t2
Formal_t0,Formal_t1,95.3,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t2-t3
Formal_t0,Informal_t1,4.7,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t2-t3
Informal_t0,Formal_t1,14,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t2-t3
Informal_t0,Informal_t1,86,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t2-t3
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t3-t4
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t3-t4
Informal_t0,Informal_t1,86.4,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t3-t4
Informal_t0,Formal_t1,13.6,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t3-t4
Formal_t0,Formal_t1,94.3,Formal_t0 - Formal_t1,t_anterior,Formal,2011_t4-t1
Formal_t0,Informal_t1,5.7,Formal_t0 - Informal_t1,t_anterior,Formal,2011_t4-t1
Informal_t0,Informal_t1,83,Informal_t0 - Informal_t1,t_anterior,Informal,2011_t4-t1
Informal_t0,Formal_t1,17,Informal_t0 - Formal_t1,t_anterior,Informal,2011_t4-t1
Formal_t0,Informal_t1,5.4,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t1-t2
Formal_t0,Formal_t1,94.6,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t1-t2
Informal_t0,Informal_t1,84.6,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t1-t2
Informal_t0,Formal_t1,15.4,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t1-t2
Formal_t0,Formal_t1,94.8,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t2-t3
Formal_t0,Informal_t1,5.2,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t2-t3
Informal_t0,Informal_t1,86.2,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t2-t3
Informal_t0,Formal_t1,13.8,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t2-t3
Formal_t0,Formal_t1,95.1,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t3-t4
Formal_t0,Informal_t1,4.9,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t3-t4
Informal_t0,Informal_t1,86.4,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t3-t4
Informal_t0,Formal_t1,13.6,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t3-t4
Formal_t0,Formal_t1,95,Formal_t0 - Formal_t1,t_anterior,Formal,2012_t4-t1
Formal_t0,Informal_t1,5,Formal_t0 - Informal_t1,t_anterior,Formal,2012_t4-t1
Informal_t0,Formal_t1,15.8,Informal_t0 - Formal_t1,t_anterior,Informal,2012_t4-t1
Informal_t0,Informal_t1,84.2,Informal_t0 - Informal_t1,t_anterior,Informal,2012_t4-t1
