periodo,categoria,persistencia,salida,entrada
2003_t3,Patron,57.8,42.2,50.4
2003_t3,Cuenta_propia,63.3,36.7,33.2
2003_t3,Asalariado,91.2,8.8,9.2
2003_t3,TFSR,23.8,76.2,65.9
2003_t4,Patron,53.7,46.3,48
2003_t4,Cuenta_propia,66.4,33.6,32.5
2003_t4,Asalariado,91.4,8.6,8.8
2003_t4,TFSR,35.5,64.5,65.1
2004_t1,Patron,58.1,41.9,51.6
2004_t1,Cuenta_propia,66.4,33.6,34.5
2004_t1,Asalariado,90.9,9.1,8.2
2004_t1,TFSR,21.7,78.3,61.6
2004_t2,Patron,64.9,35.1,37.9
2004_t2,Cuenta_propia,68.2,31.8,31.2
2004_t2,Asalariado,91.5,8.5,8.8
2004_t2,TFSR,25.8,74.2,64.4
2004_t3,Patron,46.1,53.9,49.1
2004_t3,Cuenta_propia,63.6,36.4,36.2
2004_t3,Asalariado,91,9,9.9
2004_t3,TFSR,31.6,68.4,57.6
2004_t4,Patron,45.2,54.8,45.6
2004_t4,Cuenta_propia,67.5,32.5,30.1
2004_t4,Asalariado,93.1,6.9,8.8
2004_t4,TFSR,22.1,77.9,71.1
2005_t1,Patron,51.6,48.4,47.5
2005_t1,Cuenta_propia,68.6,31.4,32.4
2005_t1,Asalariado,92.3,7.7,7.5
2005_t1,TFSR,27.4,72.6,60.7
2005_t2,Patron,50.6,49.4,51.9
2005_t2,Cuenta_propia,68.9,31.1,31.3
2005_t2,Asalariado,92.3,7.7,7.4
2005_t2,TFSR,26.3,73.7,74.3
2005_t3,Patron,57.2,42.8,43.6
2005_t3,Cuenta_propia,67.8,32.2,31.4
2005_t3,Asalariado,92.3,7.7,8
2005_t3,TFSR,40,60,50.4
2005_t4,Patron,51.4,48.6,52.9
2005_t4,Cuenta_propia,65.8,34.2,32.7
2005_t4,Asalariado,92.4,7.6,8.3
2005_t4,TFSR,23.1,76.9,69.2
2006_t1,Patron,55.4,44.6,49.2
2006_t1,Cuenta_propia,69.7,30.3,31.1
2006_t1,Asalariado,92.4,7.6,7.2
2006_t1,TFSR,29.6,70.4,63.6
2006_t2,Patron,0,100,100
2006_t2,Cuenta_propia,0,100,100
2006_t2,Asalariado,0,100,100
2006_t2,TFSR,0,100,100
2006_t4,Patron,0,100,100
2006_t4,Cuenta_propia,0,100,100
2006_t4,Asalariado,0,100,100
2006_t4,TFSR,0,100,100
2007_t1,Patron,0,100,100
2007_t1,Cuenta_propia,0,100,100
2007_t1,Asalariado,0,100,100
2007_t1,TFSR,0,100,100
2007_t2,Patron,53.4,46.6,43.4
2007_t2,Cuenta_propia,66.4,33.6,34.5
2007_t2,Asalariado,92.4,7.6,7.5
2007_t2,TFSR,28.1,71.9,74.6
2007_t4,Patron,54.7,45.3,45.5
2007_t4,Cuenta_propia,67.8,32.2,35.3
2007_t4,Asalariado,92.4,7.6,6.8
2007_t4,TFSR,31.1,68.9,53.6
2008_t1,Patron,49.6,50.4,49.3
2008_t1,Cuenta_propia,66.5,33.5,37.9
2008_t1,Asalariado,92,8,7.3
2008_t1,TFSR,9.1,90.9,74.8
2008_t2,Patron,50.6,49.4,45.5
2008_t2,Cuenta_propia,67.5,32.5,36.7
2008_t2,Asalariado,91.9,8.1,7.1
2008_t2,TFSR,26.3,73.7,70
2008_t3,Patron,54,46,36.3
2008_t3,Cuenta_propia,70.4,29.6,30.1
2008_t3,Asalariado,92.9,7.1,7.3
2008_t3,TFSR,27.4,72.6,86.5
2008_t4,Patron,52.1,47.9,40.2
2008_t4,Cuenta_propia,70.2,29.8,36.4
2008_t4,Asalariado,92.2,7.8,6.4
2008_t4,TFSR,30.6,69.4,69
2009_t1,Patron,0,100,100
2009_t1,Cuenta_propia,0,100,100
2009_t1,Asalariado,0,100,100
2009_t1,TFSR,0,100,100
2009_t2,Patron,0,100,100
2009_t2,Cuenta_propia,0,100,100
2009_t2,Asalariado,0,100,100
2009_t2,TFSR,0,100,100
2009_t3,Patron,49.4,50.6,47.5
2009_t3,Cuenta_propia,68.2,31.8,32.2
2009_t3,Asalariado,93,7,7.1
2009_t3,TFSR,14.4,85.6,88.4
2009_t4,Patron,53.1,46.9,48.5
2009_t4,Cuenta_propia,65.4,34.6,33
2009_t4,Asalariado,93.4,6.6,7.1
