periodo,categoria,persistencia,salida,entrada
2003_t3-t4,Patron,60.2,39.8,46
2003_t3-t4,Cuenta_propia,71.2,28.8,24.5
2003_t3-t4,Asalariado,93.7,6.3,7.4
2003_t3-t4,TFSR,50.4,49.6,47.4
2003_t4-t1,Patron,52.5,47.5,47.1
2003_t4-t1,Cuenta_propia,69.9,30.1,28.3
2003_t4-t1,Asalariado,93.4,6.6,7.1
2003_t4-t1,TFSR,45.3,54.7,54.6
2004_t1-t2,Patron,57.2,42.8,44.9
2004_t1-t2,Cuenta_propia,68.9,31.1,28.5
2004_t1-t2,Asalariado,93.2,6.8,7.8
2004_t1-t2,TFSR,31.4,68.6,55.7
2004_t2-t3,Patron,61.7,38.3,42.3
2004_t2-t3,Cuenta_propia,73.9,26.1,27.8
2004_t2-t3,Asalariado,92.9,7.1,6.5
2004_t2-t3,TFSR,21.9,78.1,71.5
2004_t3-t4,Patron,59.4,40.6,45.3
2004_t3-t4,Cuenta_propia,70.1,29.9,28.9
2004_t3-t4,Asalariado,93,7,7.2
2004_t3-t4,TFSR,37.9,62.1,50.1
2004_t4-t1,Patron,49.1,50.9,43.3
2004_t4-t1,Cuenta_propia,67.9,32.1,29.5
2004_t4-t1,Asalariado,93.3,6.7,8.5
2004_t4-t1,TFSR,35.6,64.4,61.3
2005_t1-t2,Patron,57.5,42.5,47.5
2005_t1-t2,Cuenta_propia,72.3,27.7,28.8
2005_t1-t2,Asalariado,92.6,7.4,6.7
2005_t1-t2,TFSR,34.8,65.2,63.4
2005_t2-t3,Patron,59.3,40.7,46.5
2005_t2-t3,Cuenta_propia,71.7,28.3,27.4
2005_t2-t3,Asalariado,93.3,6.7,6.5
2005_t2-t3,TFSR,33.8,66.2,66.5
2005_t3-t4,Patron,57.1,42.9,43.9
2005_t3-t4,Cuenta_propia,70,30,28.4
2005_t3-t4,Asalariado,94,6,6.5
2005_t3-t4,TFSR,32.5,67.5,60.3
2005_t4-t1,Patron,57,43,42.4
2005_t4-t1,Cuenta_propia,71.7,28.3,25.9
2005_t4-t1,Asalariado,94.5,5.5,6.6
2005_t4-t1,TFSR,30.5,69.5,63.2
2006_t1-t2,Patron,63.5,36.5,43
2006_t1-t2,Cuenta_propia,72.3,27.7,25.9
2006_t1-t2,Asalariado,94.2,5.8,5.9
2006_t1-t2,TFSR,38.8,61.2,64.1
2006_t2-t3,Patron,53.7,46.3,47
2006_t2-t3,Cuenta_propia,70.1,29.9,28.8
2006_t2-t3,Asalariado,94.2,5.8,6.6
2006_t2-t3,TFSR,42.7,57.3,49.2
2006_t3-t4,Patron,58.4,41.6,41.9
2006_t3-t4,Cuenta_propia,72.7,27.3,26.9
2006_t3-t4,Asalariado,94.2,5.8,6.1
2006_t3-t4,TFSR,27.4,72.6,65.3
2006_t4-t1,Patron,59.9,40.1,40.8
2006_t4-t1,Cuenta_propia,71.6,28.4,27.1
2006_t4-t1,Asalariado,94.2,5.8,6.5
2006_t4-t1,TFSR,38.1,61.9,46.1
2007_t1-t2,Patron,0,100,100
2007_t1-t2,Cuenta_propia,0,100,100
2007_t1-t2,Asalariado,0,100,100
2007_t1-t2,TFSR,0,100,100
2007_t4-t1,Patron,55.8,44.2,46.4
2007_t4-t1,Cuenta_propia,67,33,30.9
2007_t4-t1,Asalariado,94.5,5.5,6
2007_t4-t1,TFSR,36.1,63.9,52.2
2008_t1-t2,Patron,52.5,47.5,42.3
2008_t1-t2,Cuenta_propia,68.6,31.4,30.9
2008_t1-t2,Asalariado,94,6,6.6
2008_t1-t2,TFSR,31.5,68.5,67.9
2008_t2-t3,Patron,51.8,48.2,43.4
2008_t2-t3,Cuenta_propia,75.4,24.6,28.6
2008_t2-t3,Asalariado,94.2,5.8,5.4
2008_t2-t3,TFSR,11.4,88.6,74.6
2008_t3-t4,Patron,52.7,47.3,46.2
2008_t3-t4,Cuenta_propia,70.2,29.8,27.1
2008_t3-t4,Asalariado,94.9,5.1,6.1
2008_t3-t4,TFSR,34.5,65.5,61.5
2008_t4-t1,Patron,53.9,46.1,45
2008_t4-t1,Cuenta_propia,72.3,27.7,30.2
2008_t4-t1,Asalariado,93.8,6.2,5.7
2008_t4-t1,TFSR,29.4,70.6,66.4
2009_t1-t2,Patron,49.3,50.7,50.1
2009_t1-t2,Cuenta_propia,73.1,26.9,27.2
2009_t1-t2,Asalariado,94.5,5.5,5.5
2009_t1-t2,TFSR,14.9,85.1,85.1
2009_t2-t3,Patron,56.1,43.9,36.2
2009_t2-t3,Cuenta_propia,73.3,26.7,24.6
2009_t2-t3,Asalariado,94.6,5.4,6.5
2009_t2-t3,TFSR,30.6,69.4,68.2
2009_t3-t4,Patron,48.2,51.8,45.5
2009_t3-t4,Cuenta_propia,74,26,30.5
2009_t3-t4,Asalariado,93.8,6.2,5.4
2009_t3-t4,TFSR,52.4,47.6,60.8
2009_t4-t1,Patron,0,100,100
2009_t4-t1,Cuenta_propia,0,100,100
