periodo,categoria,persistencia,salida,entrada
2003_t3,Ocupado,87.2,12.8,16.1
2003_t3,Desocupado,27.6,72.4,65.3
2003_t3,Inactivo,86,14,13.1
2003_t3,Trab_familiar,0,100,100
2003_t4,Ocupado,86.7,13.3,17
2003_t4,Desocupado,26.5,73.5,67.6
2003_t4,Inactivo,85.2,14.8,13.3
2003_t4,Trab_familiar,0,100,100
2004_t1,Ocupado,86.1,13.9,17.8
2004_t1,Desocupado,29,71,66.9
2004_t1,Inactivo,83.8,16.2,17.8
2004_t1,Trab_familiar,89,11,0.5
2004_t2,Ocupado,85.8,14.2,16.7
2004_t2,Desocupado,26.8,73.2,64.4
2004_t2,Inactivo,86.1,13.9,18.8
2004_t2,Trab_familiar,88.4,11.6,0.4
2004_t3,Ocupado,86.5,13.5,16.8
2004_t3,Desocupado,25.4,74.6,67.3
2004_t3,Inactivo,84.9,15.1,18.7
2004_t3,Trab_familiar,88.2,11.8,0.4
2004_t4,Ocupado,86.4,13.6,15.2
2004_t4,Desocupado,27.6,72.4,68.2
2004_t4,Inactivo,87.2,12.8,16.2
2004_t4,Trab_familiar,89.5,10.5,0.6
2005_t1,Ocupado,86.9,13.1,16.9
2005_t1,Desocupado,28.4,71.6,67.2
2005_t1,Inactivo,84.8,15.2,16.8
2005_t1,Trab_familiar,88.8,11.2,0.8
2005_t2,Ocupado,86.7,13.3,17.9
2005_t2,Desocupado,28.6,71.4,69.4
2005_t2,Inactivo,82.8,17.2,17
2005_t2,Trab_familiar,89.1,10.9,0.7
2005_t3,Ocupado,87.6,12.4,16.4
2005_t3,Desocupado,29.2,70.8,70.3
2005_t3,Inactivo,83.6,16.4,16.3
2005_t3,Trab_familiar,89,11,0.5
2005_t4,Ocupado,87.4,12.6,15.5
2005_t4,Desocupado,22,78,71.9
2005_t4,Inactivo,85,15,18.5
2005_t4,Trab_familiar,89,11,0.4
2006_t1,Ocupado,85.8,14.2,16.2
2006_t1,Desocupado,23.9,76.1,74.5
2006_t1,Inactivo,85.6,14.4,17.5
2006_t1,Trab_familiar,88.5,11.5,0.2
2006_t2,Ocupado,0,100,100
2006_t2,Desocupado,0,100,100
2006_t2,Inactivo,0,100,100
2006_t2,Trab_familiar,0,100,100
2006_t4,Ocupado,0,100,100
2006_t4,Desocupado,0,100,100
2006_t4,Inactivo,0,100,100
2006_t4,Trab_familiar,0,100,100
2007_t1,Ocupado,0,100,100
2007_t1,Desocupado,0,100,100
2007_t1,Inactivo,0,100,100
2007_t1,Trab_familiar,0,100,100
2007_t2,Ocupado,85.8,14.2,14.6
2007_t2,Desocupado,20.2,79.8,77
2007_t2,Inactivo,85.7,14.3,18.1
2007_t2,Trab_familiar,89,11,0.4
2007_t4,Ocupado,87.1,12.9,16.2
2007_t4,Desocupado,18,82,80.4
2007_t4,Inactivo,84.3,15.7,16.8
2007_t4,Trab_familiar,87.2,12.8,0.6
2008_t1,Ocupado,86.7,13.3,15.6
2008_t1,Desocupado,18.2,81.8,81.2
2008_t1,Inactivo,85.1,14.9,16.3
2008_t1,Trab_familiar,88.7,11.3,0.3
2008_t2,Ocupado,85.8,14.2,15.3
2008_t2,Desocupado,24.1,75.9,77.2
2008_t2,Inactivo,84.6,15.4,17.5
