periodo,categoria,persistencia,salida,entrada
2003_t3-t4,Ocupado,88.2,11.8,13.7
2003_t3-t4,Desocupado,38.9,61.1,56.9
2003_t3-t4,Inactivo,88.4,11.6,11
2003_t4-t1,Ocupado,87.9,12.1,13.5
2003_t4-t1,Desocupado,37,63,61.1
2003_t4-t1,Inactivo,87.5,12.5,11.9
2004_t1-t2,Ocupado,86.8,13.2,14
2004_t1-t2,Desocupado,42.3,57.7,58
2004_t1-t2,Inactivo,87.1,12.9,12.2
2004_t2-t3,Ocupado,88.4,11.6,12.2
2004_t2-t3,Desocupado,37.9,62.1,58.8
2004_t2-t3,Inactivo,88.8,11.2,11.8
2004_t3-t4,Ocupado,88.8,11.2,12.3
2004_t3-t4,Desocupado,35.2,64.8,61.3
2004_t3-t4,Inactivo,88.5,11.5,11.6
2004_t4-t1,Ocupado,87.1,12.9,12.1
2004_t4-t1,Desocupado,34.2,65.8,66
2004_t4-t1,Inactivo,88.6,11.4,12.2
2005_t1-t2,Ocupado,88.4,11.6,12.3
2005_t1-t2,Desocupado,35.2,64.8,59.7
2005_t1-t2,Inactivo,89.1,10.9,12
2005_t2-t3,Ocupado,88.6,11.4,12.6
2005_t2-t3,Desocupado,37.5,62.5,62.1
2005_t2-t3,Inactivo,87.8,12.2,11
2005_t3-t4,Ocupado,89.2,10.8,11.7
2005_t3-t4,Desocupado,35.6,64.4,63.9
2005_t3-t4,Inactivo,88.5,11.5,10.7
2005_t4-t1,Ocupado,87.8,12.2,10.8
2005_t4-t1,Desocupado,34.2,65.8,71.1
2005_t4-t1,Inactivo,88.1,11.9,11.5
2006_t1-t2,Ocupado,89.6,10.4,12.7
2006_t1-t2,Desocupado,29.8,70.2,66.6
2006_t1-t2,Inactivo,87.9,12.1,11
2006_t2-t3,Ocupado,88.2,11.8,10.9
2006_t2-t3,Desocupado,33.2,66.8,64.3
2006_t2-t3,Inactivo,88.9,11.1,12.8
2006_t3-t4,Ocupado,89.7,10.3,11.1
2006_t3-t4,Desocupado,32.7,67.3,63
2006_t3-t4,Inactivo,89.3,10.7,11.4
2006_t4-t1,Ocupado,87.2,12.8,11
2006_t4-t1,Desocupado,30.8,69.2,73.2
2006_t4-t1,Inactivo,88,12,12.4
2007_t1-t2,Ocupado,0,100,100
2007_t1-t2,Desocupado,0,100,100
2007_t1-t2,Inactivo,0,100,100
2007_t4-t1,Ocupado,87.9,12.1,11.3
2007_t4-t1,Desocupado,27.3,72.7,76.5
2007_t4-t1,Inactivo,87.7,12.3,11.6
2008_t1-t2,Ocupado,90.8,9.2,12.2
2008_t1-t2,Desocupado,28.3,71.7,67.6
2008_t1-t2,Inactivo,88,12,9.9
2008_t2-t3,Ocupado,89.5,10.5,11.3
2008_t2-t3,Desocupado,31.6,68.4,68.7
2008_t2-t3,Inactivo,88.6,11.4,10.5
2008_t3-t4,Ocupado,90,10,11.8
2008_t3-t4,Desocupado,27.6,72.4,70.7
2008_t3-t4,Inactivo,88.4,11.6,10.2
2008_t4-t1,Ocupado,88.1,11.9,9.8
2008_t4-t1,Desocupado,28.4,71.6,74.4
2008_t4-t1,Inactivo,89,11,12.6
2009_t1-t2,Ocupado,88.9,11.1,12.5
2009_t1-t2,Desocupado,26.2,73.8,69.4
2009_t1-t2,Inactivo,88.2,11.8,11.8
2009_t2-t3,Ocupado,89.6,10.4,12.8
2009_t2-t3,Desocupado,31,69,63.3
2009_t2-t3,Inactivo,88.6,11.4,10.6
2009_t3-t4,Ocupado,89.9,10.1,11.5
2009_t3-t4,Desocupado,33.5,66.5,61.9
2009_t3-t4,Inactivo,89.1,10.9,10.8
2009_t4-t1,Ocupado,0,100,100
2009_t4-t1,Desocupado,0,100,100
2009_t4-t1,Inactivo,0,100,100
2010_t1-t2,Ocupado,89,11,12
2010_t1-t2,Desocupado,30.6,69.4,64.4
2010_t1-t2,Inactivo,88.6,11.4,11.4
2010_t2-t3,Ocupado,0,100,100
2010_t2-t3,Desocupado,0,100,100
2010_t2-t3,Inactivo,0,100,100
2010_t3-t4,Ocupado,90.1,9.9,10.3
2010_t3-t4,Desocupado,29.6,70.4,65.2
2010_t3-t4,Inactivo,90,10,10.8
2010_t4-t1,Ocupado,89.7,10.3,10
2010_t4-t1,Desocupado,30.1,69.9,68.1
2010_t4-t1,Inactivo,89.5,10.5,11
2011_t1-t2,Ocupado,89.7,10.3,11.4
2011_t1-t2,Desocupado,27.9,72.1,70.9
2011_t1-t2,Inactivo,88.7,11.3,10.5
2011_t2-t3,Ocupado,90.2,9.8,9.8
2011_t2-t3,Desocupado,32.5,67.5,65.6
2011_t2-t3,Inactivo,89.2,10.8,11.3
2011_t3-t4,Ocupado,89.9,10.1,9.1
2011_t3-t4,Desocupado,27.9,72.1,67
2011_t3-t4,Inactivo,91.1,8.9,11.1
2011_t4-t1,Ocupado,89.1,10.9,9.9
2011_t4-t1,Desocupado,30.2,69.8,70.6
2011_t4-t1,Inactivo,90,10,10.8
2012_t1-t2,Ocupado,90.4,9.6,12
2012_t1-t2,Desocupado,25.2,74.8,72.6
2012_t1-t2,Inactivo,88.4,11.6,9.3
2012_t2-t3,Ocupado,90.6,9.4,10.6
2012_t2-t3,Desocupado,39.1,60.9,64.6
2012_t2-t3,Inactivo,88.2,11.8,9.8
2012_t3-t4,Ocupado,89.6,10.4,10.1
2012_t3-t4,Desocupado,29.4,70.6,67.9
2012_t3-t4,Inactivo,89.9,10.1,10.8
2012_t4-t1,Ocupado,88.4,11.6,9.3
2012_t4-t1,Desocupado,34.9,65.1,69.9
2012_t4-t1,Inactivo,89.8,10.2,11
2013_t1-t2,Ocupado,90.4,9.6,12
2013_t1-t2,Desocupado,31.1,68.9,64.4
2013_t1-t2,Inactivo,89.2,10.8,9.4
2013_t2-t3,Ocupado,90.6,9.4,9.6
2013_t2-t3,Desocupado,30.7,69.3,61.2
2013_t2-t3,Inactivo,90.3,9.7,11
2013_t3-t4,Ocupado,89.8,10.2,11.3
2013_t3-t4,Desocupado,26.2,73.8,68.6
2013_t3-t4,Inactivo,89.2,10.8,10.9
2013_t4-t1,Ocupado,88.9,11.1,9.2
2013_t4-t1,Desocupado,33.7,66.3,71.4
2013_t4-t1,Inactivo,89.9,10.1,11.1
2014_t1-t2,Ocupado,89.2,10.8,11.2
2014_t1-t2,Desocupado,33.4,66.6,66.4
2014_t1-t2,Inactivo,88.8,11.2,10.9
2014_t2-t3,Ocupado,89.3,10.7,10.9
2014_t2-t3,Desocupado,29.6,70.4,69.3
2014_t2-t3,Inactivo,89.9,10.1,10.4
2014_t3-t4,Ocupado,89.3,10.7,11.4
2014_t3-t4,Desocupado,28.4,71.6,66.4
2014_t3-t4,Inactivo,89.6,10.4,11
2014_t4-t1,Ocupado,86.7,13.3,10
2014_t4-t1,Desocupado,31.6,68.4,72.8
2014_t4-t1,Inactivo,89.6,10.4,12.6
2015_t1-t2,Ocupado,89.6,10.4,11.2
2015_t1-t2,Desocupado,25.3,74.7,67.3
2015_t1-t2,Inactivo,89.7,10.3,11.3
2016_t2-t3,Ocupado,88.3,11.7,11.3
2016_t2-t3,Desocupado,33.4,66.6,64.1
2016_t2-t3,Inactivo,89.6,10.4,11.4
2016_t3-t4,Ocupado,89.3,10.7,10.2
2016_t3-t4,Desocupado,31.6,68.4,66.2
2016_t3-t4,Inactivo,89.9,10.1,10.9
2016_t4-t1,Ocupado,88.1,11.9,10.6
2016_t4-t1,Desocupado,32.1,67.9,74.8
2016_t4-t1,Inactivo,89.1,10.9,10.3
2017_t1-t2,Ocupado,89.2,10.8,11.7
2017_t1-t2,Desocupado,27.4,72.6,69.1
2017_t1-t2,Inactivo,89,11,11
2017_t2-t3,Ocupado,90,10,11.9
2017_t2-t3,Desocupado,29,71,67.4
2017_t2-t3,Inactivo,88.9,11.1,10.4
2017_t3-t4,Ocupado,89.7,10.3,10.7
2017_t3-t4,Desocupado,26.2,73.8,69
2017_t3-t4,Inactivo,89.4,10.6,11.4
2017_t4-t1,Ocupado,88.9,11.1,10.3
2017_t4-t1,Desocupado,37,63,71.1
2017_t4-t1,Inactivo,88.3,11.7,10.4
2018_t1-t2,Ocupado,88.7,11.3,10.9
2018_t1-t2,Desocupado,34.7,65.3,67.7
2018_t1-t2,Inactivo,89,11,10.8
2018_t2-t3,Ocupado,89.2,10.8,11.1
2018_t2-t3,Desocupado,29.8,70.2,69.9
2018_t2-t3,Inactivo,89.3,10.7,10.4
2018_t3-t4,Ocupado,89.1,10.9,10.6
2018_t3-t4,Desocupado,40,60,60.3
2018_t3-t4,Inactivo,89.2,10.8,11.1
2018_t4-t1,Ocupado,87.8,12.2,11.9
