periodo,categoria,persistencia,salida,entrada
2023_t4-t1,Formal,92.7,7.3,6.3
2023_t4-t1,Informal,84,16,17.7
2024_t1-t2,Formal,92.8,7.2,6.3
2024_t1-t2,Informal,83.8,16.2,18.2
2024_t2-t3,Formal,92.5,7.5,5.4
2024_t2-t3,Informal,86.9,13.1,17.4
2024_t3-t4,Formal,94.4,5.6,6.6
2024_t3-t4,Informal,81.2,18.8,16.2
2024_t4-t1,Formal,93.1,6.9,7.7
2024_t4-t1,Informal,80.4,19.6,17.9
2025_t1-t2,Formal,92.7,7.3,7.1
2025_t1-t2,Informal,82.7,17.3,17.3
2025_t2-t3,Formal,94,6,7
2025_t2-t3,Informal,83,17,14.4
2025_t3-t4,Formal,92.3,7.7,6
2025_t3-t4,Informal,84.6,15.4,19.9
