periodo,categoria,persistencia,salida,entrada
2003_t3,Formal,94.5,5.5,10.6
2003_t3,Informal,83.2,16.8,8.7
2003_t4,Formal,94.3,5.7,10.4
2003_t4,Informal,84.8,15.2,8.7
2004_t1,Formal,94.1,5.9,10
2004_t1,Informal,84.6,15.4,9.4
2004_t2,Formal,94.5,5.5,10.7
2004_t2,Informal,82.7,17.3,9.1
2004_t3,Formal,94.5,5.5,10.6
2004_t3,Informal,83.3,16.7,9
2004_t4,Formal,94.6,5.4,11.3
2004_t4,Informal,82.9,17.1,8.3
2005_t1,Formal,95,5,11.5
2005_t1,Informal,81,19,8.7
2005_t2,Formal,94.4,5.6,11.7
2005_t2,Informal,80.8,19.2,9.6
2005_t3,Formal,95.5,4.5,10.3
2005_t3,Informal,82.3,17.7,8
2005_t4,Formal,92.7,7.3,11.9
2005_t4,Informal,78.6,21.4,14
2006_t1,Formal,94.1,5.9,11.9
2006_t1,Informal,78.9,21.1,11.8
2006_t2,Formal,0,100,100
2006_t2,Informal,0,100,100
2006_t4,Formal,0,100,100
2006_t4,Informal,0,100,100
2007_t1,Formal,0,100,100
2007_t1,Informal,0,100,100
2007_t2,Formal,94.3,5.7,11.7
2007_t2,Informal,73.6,26.4,14.2
2007_t4,Formal,93.5,6.5,11.1
2007_t4,Informal,75.4,24.6,15.2
2008_t1,Formal,93,7,9.4
2008_t1,Informal,77.1,22.9,17.9
2008_t2,Formal,93.8,6.2,8.7
2008_t2,Informal,76.6,23.4,17.3
2008_t3,Formal,93.4,6.6,8.6
2008_t3,Informal,78.2,21.8,17.3
2008_t4,Formal,94,6,8
2008_t4,Informal,81.1,18.9,14.8
2009_t1,Formal,0,100,100
2009_t1,Informal,0,100,100
2009_t2,Formal,0,100,100
2009_t2,Informal,0,100,100
2009_t3,Formal,94.6,5.4,8.1
2009_t3,Informal,79.7,20.3,14
2009_t4,Formal,95.8,4.2,9
2009_t4,Informal,74.9,25.1,12.8
2010_t1,Formal,0,100,100
2010_t1,Informal,0,100,100
2010_t2,Formal,0,100,100
2010_t2,Informal,0,100,100
2010_t3,Formal,93.9,6.1,9.6
2010_t3,Informal,75.7,24.3,16.5
2010_t4,Formal,93.5,6.5,9.8
2010_t4,Informal,73,27,18.8
2011_t1,Formal,94.8,5.2,7.8
2011_t1,Informal,78.3,21.7,15.4
2011_t2,Formal,93.5,6.5,7
2011_t2,Informal,81,19,17.8
2011_t3,Formal,93.3,6.7,8
2011_t3,Informal,79.6,20.4,17.1
2011_t4,Formal,93.7,6.3,8.5
2011_t4,Informal,78.9,21.1,16.1
2012_t1,Formal,94.5,5.5,8.2
2012_t1,Informal,76.5,23.5,17.1
2012_t2,Formal,94.2,5.8,7.3
2012_t2,Informal,80.4,19.6,16
2012_t3,Formal,93.7,6.3,8
2012_t3,Informal,79.4,20.6,16.5
2012_t4,Formal,93.7,6.3,9.3
2012_t4,Informal,74.7,25.3,18.2
2013_t1,Formal,94.7,5.3,7.1
2013_t1,Informal,77.4,22.6,18.1
2013_t2,Formal,0,100,100
2013_t2,Informal,0,100,100
2013_t3,Formal,92.1,7.9,9.4
2013_t3,Informal,76.6,23.4,19.6
2013_t4,Formal,92.4,7.6,8.6
2013_t4,Informal,78.5,21.5,20.2
2014_t1,Formal,94.1,5.9,8.2
2014_t1,Informal,75.8,24.2,18.2
2014_t2,Formal,92.8,7.2,6.8
2014_t2,Informal,81.1,18.9,19.5
2015_t2,Formal,0,100,100
2015_t2,Informal,0,100,100
2016_t2,Formal,93.6,6.4,6.8
