periodo,categoria,persistencia,salida,entrada
2003_t3-t4,Formal,95.3,4.7,6.6
2003_t3-t4,Informal,90.6,9.4,7.2
2003_t4-t1,Formal,94.9,5.1,6.1
2003_t4-t1,Informal,92.2,7.8,6.6
2004_t1-t2,Formal,94.3,5.7,5.4
2004_t1-t2,Informal,91.6,8.4,8.7
2004_t2-t3,Formal,95.2,4.8,6.2
2004_t2-t3,Informal,90.8,9.2,7
2004_t3-t4,Formal,93.7,6.3,6.8
2004_t3-t4,Informal,90.6,9.4,8.9
2004_t4-t1,Formal,95.2,4.8,7.6
2004_t4-t1,Informal,88.6,11.4,7.4
2005_t1-t2,Formal,95,5,7.4
2005_t1-t2,Informal,88.9,11.1,7.5
2005_t2-t3,Formal,95,5,6.8
2005_t2-t3,Informal,89.8,10.2,7.6
2005_t3-t4,Formal,95.2,4.8,6.8
2005_t3-t4,Informal,89.6,10.4,7.4
2005_t4-t1,Formal,95.3,4.7,6.8
2005_t4-t1,Informal,88.7,11.3,7.8
2006_t1-t2,Formal,95.5,4.5,6.7
2006_t1-t2,Informal,88.9,11.1,7.5
2006_t2-t3,Formal,95.5,4.5,6.5
2006_t2-t3,Informal,89.1,10.9,7.8
2006_t3-t4,Formal,94.1,5.9,7.2
2006_t3-t4,Informal,87.5,12.5,10.5
2006_t4-t1,Formal,95,5,9
2006_t4-t1,Informal,82.9,17.1,9.8
2007_t1-t2,Formal,0,100,100
2007_t1-t2,Informal,0,100,100
2007_t4-t1,Formal,94.5,5.5,8
2007_t4-t1,Informal,82.9,17.1,11.9
2008_t1-t2,Formal,94.4,5.6,7
2008_t1-t2,Informal,83.5,16.5,13.3
2008_t2-t3,Formal,94.6,5.4,6.3
2008_t2-t3,Informal,84.5,15.5,13.6
2008_t3-t4,Formal,94.6,5.4,6
2008_t3-t4,Informal,86.7,13.3,12
2008_t4-t1,Formal,95.1,4.9,5.3
2008_t4-t1,Informal,87.6,12.4,11.5
2009_t1-t2,Formal,94.7,5.3,5.8
2009_t1-t2,Informal,86.3,13.7,12.6
2009_t2-t3,Formal,94.1,5.9,6.7
2009_t2-t3,Informal,83.3,16.7,15.5
2009_t3-t4,Formal,95,5,5.7
2009_t3-t4,Informal,86.5,13.5,12
2009_t4-t1,Formal,0,100,100
2009_t4-t1,Informal,0,100,100
2010_t1-t2,Formal,94.6,5.4,6.4
2010_t1-t2,Informal,85.3,14.7,12.4
2010_t2-t3,Formal,0,100,100
2010_t2-t3,Informal,0,100,100
2010_t3-t4,Formal,95.7,4.3,6.5
2010_t3-t4,Informal,84.3,15.7,10.8
2010_t4-t1,Formal,93.7,6.3,5
2010_t4-t1,Informal,86,14,17.1
2011_t1-t2,Formal,94.4,5.6,5.3
2011_t1-t2,Informal,87,13,13.6
2011_t2-t3,Formal,95.3,4.7,5.3
2011_t2-t3,Informal,86,14,12.7
2011_t3-t4,Formal,94.8,5.2,5.2
2011_t3-t4,Informal,86.4,13.6,13.4
2011_t4-t1,Formal,94.3,5.7,6.2
2011_t4-t1,Informal,83,17,15
2012_t1-t2,Formal,94.6,5.4,6
2012_t1-t2,Informal,84.6,15.4,13.7
2012_t2-t3,Formal,94.8,5.2,5.5
2012_t2-t3,Informal,86.2,13.8,12.7
2012_t3-t4,Formal,95.1,4.9,5.5
2012_t3-t4,Informal,86.4,13.6,12.4
2012_t4-t1,Formal,95,5,5.8
2012_t4-t1,Informal,84.2,15.8,13.9
2013_t1-t2,Formal,93.3,6.7,6.4
2013_t1-t2,Informal,82.7,17.3,17.7
2013_t2-t3,Formal,94.8,5.2,5.7
2013_t2-t3,Informal,86,14,12.9
2013_t3-t4,Formal,94.8,5.2,7
2013_t3-t4,Informal,82.2,17.8,13.2
2013_t4-t1,Formal,95.1,4.9,5.1
2013_t4-t1,Informal,86,14,13.5
2014_t1-t2,Formal,95,5,5.6
2014_t1-t2,Informal,85.4,14.6,13.4
2014_t2-t3,Formal,94,6,5
2014_t2-t3,Informal,86.2,13.8,16.2
2014_t3-t4,Formal,94.4,5.6,5.9
2014_t3-t4,Informal,85.8,14.2,13.6
2014_t4-t1,Formal,95.4,4.6,6.6
2014_t4-t1,Informal,81.4,18.6,13.3
2015_t1-t2,Formal,95,5,5.6
2015_t1-t2,Informal,83.8,16.2,14.5
2016_t2-t3,Formal,94.8,5.2,6
2016_t2-t3,Informal,83.5,16.5,14.2
2016_t3-t4,Formal,94.1,5.9,6.8
2016_t3-t4,Informal,82.4,17.6,15.6
2016_t4-t1,Formal,93.8,6.2,6.1
2016_t4-t1,Informal,83.5,16.5,17
2017_t1-t2,Formal,94.8,5.2,5.1
